"A","B","C","D","anchor_id","color","confidence","id","is_anchor","name","ghc_x","ghc_y","ghc_z"
"0","691","1334","967","A","purple","0","[HUB12-416]","1","Lion Shield","0","0","0","0"
"691","0","875","435","B","white","0","[HUB1-74]","1","Sun Tzu","0","0","0","0"
"1334","875","0","1148","C","purple","0","[HUB7-3FE]","1","Aniwani","0","0","0","0"
"967","435","1148","0","D","purple","0","[HUB22-406]","1","Legods","0","0","0","0"
"767","91","858","372","false","purple","0","[HUB1-3FB]","0","Wellspring","0","0","0","0"
"821","191","734","457","false","blue","0","[HUB1-13B]","0","Penultimate Peak","0","0","0","0"
"728","65","879","381","false","green","0","[HUB1-1F4]","0","Ifthendang","0","0","0","0"
"756","67","835","415","false","yellow","0","[HUB1-1F7]","0","Astra Mae","0","0","0","0"
"734","55","889","396","false","blue","0","[HUB4-BD]","0","Usi Uybi Sequence","0","0","0","0"
"782","106","847","432","false","blue","0","[HUB4-87]","0","Iwan","0","0","0","0"
"698","47","871","414","false","green","0","[HUB1-1F8]","0","Enthrareos","0","0","0","0"
"683","47","906","401","false","blue","0","[HUB4-97]","0","Roezen","0","0","0","0"
"727","46","861","436","false","blue","0","[HUB1-402]","0","Rhea","0","0","0","0"
"696","12","879","424","false","yellow","0","[HUB1-27]","0","Deacon's Rest","0","0","0","0"
"669","55","912","407","false","yellow","0","[HUB4-86]","0","Latwhis","0","0","0","0"
"648","83","930","407","false","yellow","0","[HUB4-88]","0","Erusan","0","0","0","0"
"645","71","921","420","false","yellow","0","[HUB4-89]","0","Prouder Mary","0","0","0","0"
"655","55","920","419","false","yellow","0","[HUB4-AF]","0","Neushooorn","0","0","0","0"
"658","67","925","406","false","red","0","[HUB4-98]","0","Wunyano","0","0","0","0"
"843","340","783","555","false","yellow","0","[HUB5-2]","0","Lilith","0","0","0","0"
"852","353","804","547","false","yellow","0","[HUB5-6B]","0","Hecate","0","0","0","0"
"833","306","750","538","false","blue","0","[HUB5-146]","0","Assembly - Hecate's Bel","0","0","0","0"
"845","339","783","551","false","blue","0","[HUB5-1AB]","0","Scytha - Hecate's Belt","0","0","0","0"
"852","344","786","552","false","blue","0","[HUB5-1AF]","0","Ridung - Hecate's Belt","0","0","0","0"
"852","344","786","552","false","blue","0","[HUB5-1EE]","0","Ladoga - Hecate's Belt","0","0","0","0"
"868","312","752","513","false","purple","0","[HUB5-40A]","0","Six Queens","0","0","0","0"
"850","353","808","542","false","purple","0","[HUB5-429]","0","Ver Sacrum","0","0","0","0"
"771","162","730","499","false","yellow","0","[HUB1-69]","0","Flexibility's Edge","0","0","0","0"
"747","75","832","458","false","red","0","[HUB4-99]","0","Whis","0","0","0","0"
"758","76","815","446","false","yellow","0","[HUB1-1E4]","0","Pained Symphonea","0","0","0","0"
